Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Congo, Rep.",COG,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,7.334,80.674,139.346,161.348,29.336,33.003,33.003,14.668,0,3.667,3.667,3.667,0,3.667,3.667,3.667,7.334,3.667,3.667,3.667,3.667,3.667,3.667,102.676,201.685,201.685,201.685,201.685,253.023,253.023,275.025,238.355,0,0,33.003,36.67,44.004,44.004,40.337,47.671,106.343,194.351,282.359,407.037,579.386,524.381,524.381,487.711
Colombia,COL,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,689.396,711.398,1074.431,1305.452,1382.459,1705.155,2024.184,2108.525,2178.198,2427.554,2717.247,3014.274,3538.655,3689.002,3571.658,3600.994,3703.67,4206.049,5573.84,5977.21,6912.295,7389.005,7730.036,8478.104,8525.775,7356.002,6901.294,7190.987,7539.352,7069.976,8379.095,8701.791,8371.761,8650.453,8984.15,8302.088,10241.931,12464.133,13032.518,11210.019,12497.136,13270.873,13256.205,12691.487,13358.881,14018.941,14044.61,14044.61,17531.927,20113.495,22005.667,21066.915,22918.75,23124.102,22684.062,23120.435,21910.325
Comoros,COM,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caribbean small states,CSS,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,3.667,14.668,29.336,36.67,33.003,40.337,33.003,22.002,33.003,33.003,25.669,18.335,14.668,7.334,11.001,11.001,44.004,40.337,62.339,69.673,69.673,40.337,44.004,36.67,33.003,36.67,69.673,231.021,883.747,1103.767,1144.104,1122.102,1265.115,1353.123,1426.463,2082.856,2339.546,2229.536,2218.535,2060.854,1958.178,1987.514,2046.186,2306.543,2390.884,2277.207
Curacao,CUW,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,275.025,275.025
Cayman Islands,CYM,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,CYP,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,CZE,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13281.874,13575.234,13259.872,15005.364,17267.903,17564.93,17601.6,17696.942,17176.228,18397.339,17777.616,17960.966,17836.288,17641.937,17392.581,16578.507,16428.16,15584.75,18481.68,15595.751,15702.094,15911.113,14158.287,14847.683,16068.794
Germany,DEU,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132276.024,130255.507,136815.77,140141.739,154135.011,172374.669,164783.979,166573.475,164893.989,164567.626,173126.404,173082.4,173779.13,174490.528,178146.527,181615.509,175198.259,176727.398,166577.142,173845.136,159397.156,159910.536,167427.886,145147.194,149224.898,161080.309
Djibouti,DJI,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
